function,type,categories,name,specification,size,width,height,尺寸备注,Price,价格备注,imageMap ,颜色,生肖标签,星座标签,祝福愿望,风格类型,sku_id
珠子,水晶,白水晶,白水晶圆珠,6mm,6,6,6,,3,,白水晶圆珠.png,白,通用,通用,"澄心净念,金榜题名",极简百搭,A261A1089
珠子,水晶,白水晶,白水晶圆珠,8mm,8,8,8,,5,,白水晶圆珠.png,白,通用,通用,"澄心净念,金榜题名",极简百搭,ST2004243
珠子,水晶,白水晶,白水晶圆珠,10mm,10,10,10,,10,,白水晶圆珠.png,白,通用,通用,"澄心净念,金榜题名",极简百搭,ST2004239
珠子,水晶,白水晶,白水晶圆珠,12mm,12,12,12,,15,,白水晶圆珠.png,白,通用,通用,"澄心净念,金榜题名",极简百搭,ST2004244
珠子,水晶,紫水晶,深色乌拉圭紫水晶,8mm,8,8,8,,10,,深色乌拉圭紫水晶.png,紫,"牛,龙,羊,狗,蛇,马",射手,"金榜题名,睡个好觉",能量疗愈,A261A4090
珠子,水晶,紫水晶,深色乌拉圭紫水晶,10mm,10,10,10,,15,,深色乌拉圭紫水晶.png,紫,"牛,龙,羊,狗,蛇,马",射手,"金榜题名,睡个好觉",能量疗愈,A261A4091
珠子,水晶,紫水晶,深色乌拉圭紫水晶,12mm,12,12,12,,20,,深色乌拉圭紫水晶.png,紫,"牛,龙,羊,狗,蛇,马",射手,"金榜题名,睡个好觉",能量疗愈,A261A4092
珠子,水晶,紫水晶,浅色玻利维亚紫水晶,8mm,8,8,8,,8,,浅色玻利维亚紫水晶.png,紫,"牛,龙,羊,狗,蛇,马","天秤,双鱼","金榜题名,睡个好觉",能量疗愈,A261A4093
珠子,水晶,紫水晶,浅色玻利维亚紫水晶,10mm,10,10,10,,12,,浅色玻利维亚紫水晶.png,紫,"牛,龙,羊,狗,蛇,马","天秤,双鱼","金榜题名,睡个好觉",能量疗愈,A261A4094
珠子,水晶,紫水晶,浅色玻利维亚紫水晶,12mm,12,12,12,,20,,浅色玻利维亚紫水晶.png,紫,"牛,龙,羊,狗,蛇,马","天秤,双鱼","金榜题名,睡个好觉",能量疗愈,A261A4095
珠子,水晶,紫水晶,薰衣草紫水晶浅色,8mm,8,8,8,,5,,薰衣草紫水晶浅色.png,紫,"牛,龙,羊,狗,蛇,马","天秤,双鱼","金榜题名,睡个好觉",少女甜美,A261A4096
珠子,水晶,紫水晶,薰衣草紫水晶浅色,10mm,10,10,10,,8,,薰衣草紫水晶浅色.png,紫,"牛,龙,羊,狗,蛇,马","天秤,双鱼","金榜题名,睡个好觉",少女甜美,A261A4097
珠子,水晶,紫水晶,薰衣草紫水晶浅色,12mm,12,12,12,,12,,薰衣草紫水晶浅色.png,紫,"牛,龙,羊,狗,蛇,马","天秤,双鱼","金榜题名,睡个好觉",少女甜美,A261A4098
珠子,水晶,黄水晶,柠檬黄黄水晶,8mm,8,8,8,,6,,柠檬黄黄水晶.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",轻奢精致,A261A3099
